Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
623e91b7977184c904e4861f,,63.79,97.07,68.19,67.96,"319,7,0,0",time,60,-1,1,60.01,0,0.5,false,false,english_1k,none,normal,false,false,false,,1648267702620
623e9175977184c904e48487,,54.4,93.75,64,70.23,"272,12,0,0",time,60,-1,3,60,0,11.58,false,false,english_1k,none,normal,false,false,false,,1648267636858
623e910a977184c904e48202,,52.8,93.91,62.4,73.08,"264,11,1,0",time,60,-1,2,60,0,27.11,false,false,english_1k,none,normal,false,false,false,,1648267529317
623e90a9977184c904e47fd9,,62.19,95.06,68.79,70.84,"311,11,1,0",time,60,-1,4,60.01,0,68.76,false,false,english_1k,none,normal,false,false,false,,1648267432508
623e9010977184c904e47c78,,51.8,88.79,66,69.85,"259,21,4,2",time,60,-1,2,60,0,3.77,false,false,english_1k,none,normal,false,false,false,,1648267279831
623e8fb1977184c904dc46e7,,54.59,94.12,64.59,66.76,"273,11,0,1",time,60,-1,4,60.01,0,47.14,false,false,english_1k,none,normal,false,false,false,,1648267184674
623e8f0f977184c904dc435e,,58,93.96,66,72.41,"290,12,0,0",time,60,-1,5,60,0,57.99,false,false,english_1k,none,normal,false,false,false,,1648267022590
623e8e89977184c904dc4090,,58.4,93.33,69,72.94,"292,11,2,0",time,60,-1,2,60,0,34.62,false,false,english_1k,none,normal,false,false,false,,1648266887494
623e763b977184c904a25d7d,,53.79,95.82,62.19,67.25,"269,8,0,0",time,60,-1,5,60.01,0,61.22,false,false,english_1k,none,normal,false,false,false,,1648260667000
623e7337977184c9049a1bda,,52.2,90.72,66.8,69.7,"261,18,1,2",time,60,-1,2,60,0,67.67,false,false,english_1k,none,normal,false,false,false,,1648259895000
623e71a7977184c9049a1470,,55.99,94.36,63.79,71.17,"280,10,1,1",time,60,-1,1,60.01,0,3.05,false,false,english_1k,none,normal,false,false,false,,1648259495000
623e7161977184c9049a1311,,53.18,92.9,64.78,74.65,"266,13,0,2",time,60,-1,1,60.02,0,36.28,false,false,english_1k,none,normal,false,false,false,,1648259425000
623e70fc977184c9049a10fa,,52.6,93.1,63.8,70.56,"263,12,2,1",time,60,-1,6,60,0,67.52,false,false,english_1k,none,normal,false,false,false,,1648259324000
623e703a977184c9049a0d1c,,61.99,95.21,70.99,70.84,"310,10,0,0",time,60,-1,2,60.01,0,2.72,false,false,english_1k,none,normal,false,false,false,,1648259130000
623e6ff5977184c90491d860,,61.79,97.03,67.39,73.38,"309,5,1,0",time,60,-1,1,60.01,0,10.82,false,false,english_1k,none,normal,false,false,false,,1648259061000
